Fecha de Suscripción,Usuario Libre,Suministrador,Link de Descarga
42502,ANTAMINA ,ENGIE(ENERSUR),ENG_ANT_2016512_2_1082.pdf
42510,YURA S.A.,ENGIE(ENERSUR),ENG_YUR_2016520_0_1093.pdf
42551,INDUSTRIAL PAPELERA ATLAS S.A.,ENGIE(ENERSUR),ENG_IND_2016630_3_1396.pdf
42570,EMPRESA EXPLOTADORA DE VINCHOS LTDA. S.A.C.,ENGIE(ENERSUR),EDE_EMP_2016719_0_1208.pdf
42570,OXIDOS PASCO S.A.C.,ENGIE(ENERSUR),ENG_OXI_2016719_0_1209.pdf
42570,EMPRESA ADMINISTRADORA CERRO,ENGIE(ENERSUR),ENG_EMP_2016719_0_1210.pdf
42570,COMAPAÑIA MINERA CHUNGAR S.A.C.,ENGIE(ENERSUR),ENG_COM_2016719_0_1211.pdf
42570,VOLCAN COMPAÑÍA MINERA S.A.A.,ENGIE(ENERSUR),ENG_VOL_2016719_0_1212.pdf
42611,GLORIA S.A.,ENGIE(ENERSUR),ENG_GLO_2016829_0_1234.pdf
42611,GLORIA S.A.,ENGIE(ENERSUR),ENG_GLO_2016829_0_1235.pdf
42611,CASA GRANDE S.A.A.,ENGIE(ENERSUR),ENG_CAS_2016829_0_1236.pdf
42611,CARTAVIO S.A.A.,ENGIE(ENERSUR),ENG_CAR_2016829_0_1237.pdf
42611,AGROINDUSTRIAS SAN JACINTO S.A.A.,ENGIE(ENERSUR),ENG_AGR_2016829_0_1238.pdf
42611,TRUPAL S.A.,ENGIE(ENERSUR),ENG_TRU_2016829_0_1239.pdf
42611,TRUPAL S.A.,ENGIE(ENERSUR),ENG_TRU_2016829_0_1240.pdf
42611,INDUSTRIAS FIBRAFORTE S.A.,ENGIE(ENERSUR),ENG_IND_2016829_1_1262.pdf
42660,AMERICATEL PERU S.A.C.,ENGIE(ENERSUR),ENG_AME_2016114_0_1306.pdf
42660,MINERA YANACOCHA S.R.L.,ENGIE(ENERSUR),ENG_MIN_20161017_2_1397.pdf
42727,CORPORACION DE INDUSTRIAS PLÁSTICAS S.A.,ENGIE(ENERSUR),ENG_COR_20161223_0_1414.pdf
42565,MINERA YANACOCHA S.R.L.,ENGIE ENERGIA PERU S.A.,ENG_MIN_2016714_0_1527.pdf
42618,MINERA YANACOCHA S.R.L.,ENGIE ENERGIA PERU S.A.,ENG_MIN_201695_1_1528.pdf
42892,MINSUR S.A.,ENGIE ENERGIA PERU S.A.(ENERSUR),ENG_MIN_201766_1_1605.pdf
